Nr okregu;Siedziba;Liczba wyborcow;Liczba mandatow
1;Legnica;787416;12
2;Wa³brzych;539545;8
3;Wroc³aw;988061;14
4;Bydgoszcz;804077;12
5;Toruñ;832502;13
6;Lublin;959177;15
7;Che³m;771648;12
8;Zielona Góra;800699;12
9;£ódŸ;642203;10
10;Piotrków Trybunalski;586015;9
11;Sieradz;786549;12
12;Kraków I (po³udnie);514765;8
13;Kraków II (pó³noc);938869;14
14;Nowy S¹cz;614295;10
15;Tarnów;579603;9
16;P³ock;671219;10
17;Radom;574038;9
18;Siedlce;763101;12
19;Warszawa I (miasto);1561289;20
20;Warszawa II (okrêg);832675;12
21;Opole;808931;12
22;Krosno;710602;11
23;Rzeszów;988577;15
24;Bia³ystok;947710;14
25;Gdañsk;830798;12
26;Gdynia;936485;14
27;Bielsko-Bia³a;612348;9
28;Czêstochowa;486784;7
29;Gliwice;611771;9
30;Rybnik;574191;9
31;Katowice;777770;12
32;Sosnowiec;564891;9
33;Kielce;1031221;16
34;Elbl¹g;503061;8
35;Olsztyn;636139;10
36;Kalisz;797144;12
37;Konin;617224;9
38;Pi³a;610758;9
39;Poznañ;692746;10
40;Koszalin;515403;8
41;Szczecin;826850;12